Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,194.8047222,197.0714745,203.3349195,225.4319289,250.713969,294.4588485,281.9281209,251.811957,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2695.365917,3471.248054,3838.433972,4560.512586,5633.795717,6337.883323,7077.770765,7683.502613,8069.213024,8123.180873,
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1204.155168,1282.364618,1342.468124,1304.601346,1260.395794,1125.201935,1103.338706,1125.261149,1189.140678,1175.93261,1175.14927,1181.081644,1385.866477,1541.712369,2218.78471,2470.683623,2553.549692,2759.952748,2509.139633,2164.432929,2472.197831,2395.856551,2355.725857,2246.257472,2740.249442,3386.025634,3709.078764,4674.219528,5433.720425,5148.422106,6250.654926,7227.739797,7884.984375,8030.585914,7913.383242,6044.525655,5805.605385,
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,401.2150932,359.7913681,327.5450756,331.8089951,311.144433,322.2031412,444.2469485,521.5228938,534.7843862,497.2904719,607.4694013,582.3065192,609.9032196,586.6533885,401.8409364,487.797973,471.721275,422.5487938,417.928473,420.8779342,375.8528566,395.9319363,433.2691451,544.5066526,616.4197236,621.9033702,648.3008717,720.7593013,795.9705019,778.5454199,769.1742883,829.7586885,788.632653,834.3410949,852.9543079,727.6463868,775.0800846,
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,546.1423977,463.6859364,492.5317093,387.4937757,269.8259433,240.7701781,263.8145604,242.996146,273.1246877,269.5874462,270.1105809,253.0421708,219.7342375,275.7352838,144.5206962,135.6734781,134.939947,138.964642,138.615476,102.6447985,405.4696531,153.6995733,175.1360715,173.9163518,194.1667863,218.5235092,252.8430454,280.1217437,318.1201341,292.6284114,318.0757516,357.4834938,398.1406948,458.1253652,487.1982806,497.6297557,449.3715203,
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,927.0962559,1052.165292,1107.342201,1043.853685,1060.658298,1015.557387,845.1688012,1021.611602,957.2493252,1006.141041,1146.812278,1086.563494,1138.216092,724.5478973,649.9053769,755.9167951,882.4250224,784.0481427,639.4985852,750.5265499,998.1968921,842.7090677,886.3616653,998.1013117,1289.337837,1637.064381,2012.11007,2111.209489,2881.594116,2255.333119,2737.34233,3196.647524,2952.052348,2964.572989,2910.520226,1712.121146,1528.24472,
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,2022.109731,1069.139835,1033.894312,1535.351908,1727.175553,1756.856818,1955.702554,2033.671259,2059.311255,2274.430069,2391.301446,2257.491123,2618.167952,2854.6202,3045.406733,3279.326506,3230.234155,3408.365101,3614.562567,3688.398314,3808.363689,3981.528047,4062.014965,4167.714107,4425.507467,4697.011135,5245.187372,6120.623418,6911.136136,6809.396224,8199.414621,9186.59639,9985.36959,10569.66631,10647.44179,11406.36273,11824.6381,
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,1226.912731,973.2840497,836.6556865,724.9422695,696.275231,682.5737814,862.3419925,915.4240175,897.6660598,824.1583194,880.0184701,825.5407011,847.2958457,810.8329724,590.3001333,756.5011354,809.5387372,758.911908,793.9810785,759.2922029,642.254714,656.834565,710.9611683,865.789649,919.8068028,931.754287,951.9478956,1065.896375,1242.431044,1217.749206,1219.749096,1214.703946,1262.480218,1423.682282,1569.928275,1434.326615,1534.973724,
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,,,,,,,,,,,,,,,,4794.937213,5268.805674,5210.430239,5650.332016,5135.473341,4919.628069,5245.421419,6053.716037,7805.881418,9365.742468,10224.30403,11363.41845,13546.69872,15893.86056,14157.14416,13505.74586,14539.18421,13235.97757,13574.74009,13467.46827,11638.07948,12149.18958,
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2024.66004,2038.630096,2111.052398,2227.905625,2399.844466,2273.184149,2382.608905,2455.209164,2645.49087,2576.974727,2706.975742,2280.335931,2057.682969,2072.167419,2621.824239,2790.178221,2282.389619,2303.090535,2326.112221,2553.06976,2741.110542,2832.188893,2994.339988,3192.669378,3390.716256,3779.05707,4669.060916,5184.494227,5376.447622,5484.7763,5676.141403,6075.924306,6425.941119,6760.15344,7050.50199,7602.261218,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,4232.022939,4033.240478,4122.784499,4091.048498,4258.743589,4488.287003,5642.631476,6690.577975,7645.629767,8038.914242,9641.575273,9696.099593,11310.07192,10526.14177,11617.69278,15098.00602,14969.42279,14303.53857,15247.29329,15457.64436,14672.88206,15062.92433,16372.29152,20293.40789,23932.49128,25324.48666,27169.99256,31386.63265,35390.70488,32105.8159,30818.46396,32233.83942,28984.91481,27942.31667,27400.80299,23212.2247,23541.48825,
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,,,,,,,,,,,3917.15984,2878.719283,3352.034161,3931.744463,4601.952312,5788.150737,6493.863346,5996.83381,6458.904501,6307.698004,6011.61522,6609.20553,8032.896612,9773.117503,11685.88724,13346.17639,15183.63605,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18483.71648,
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,13883.89965,12081.78954,11804.43319,11857.90212,11562.91349,12253.09555,17201.08283,21340.71406,22527.0471,21901.05752,26891.44164,27011.38589,29569.65453,27597.97148,29995.56522,35351.38071,35650.72434,32835.92877,33368.15485,33440.80162,30743.55917,30751.64946,33228.69291,40458.77064,46511.60457,48799.82037,52026.99311,58487.04501,64322.06664,58163.29359,58041.41122,61753.66007,58507.50021,61191.19263,62548.98502,53012.99658,53578.75657,
