Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,32.96528024,33.87839659,34.83251153,35.82785562,36.86430472,37.94342852,39.06089039,40.22049486,41.44068819,42.74579638,44.15125931,45.66778113,47.28452465,48.9691646,50.67594892,52.37280951,54.04628414,55.70804363,57.38085314,59.09984037,60.88995211,62.75924973,64.69842143,66.69523767,68.73008159,70.78950869,72.87066336,74.98040972,77.12766939,79.3251685,81.58264455,83.90211068,86.2820149,88.72340369,91.22660518,93.79169918,96.41981199,
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1093.4,1101,1108.98,1118.6,1128.46,1137.96,1147.64,1156.98,1166.94,1176.82,1186.52,1180.42,1171.9,1178.2,1186.4,1194.92,1202.58,1209.94,1218.86,1225.7,1236.66,1250.08,1258.24,1266.5,1274.8,1283.08,1290.46,1297.76,1305.46,1312.72,1302.48,1291.28,1295.96,1300.02,1302.78,1305,1307.52,
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,8.757399996,8.997281853,9.225649038,9.456734371,9.710849047,9.998887058,10.3364938,10.71072063,11.07105708,11.3489502,11.49926161,11.49934722,11.37608886,11.19613467,12.97746231,12.93660804,13.04728643,13.28527638,13.62198492,14.00861809,14.40743719,14.81407035,15.23615578,15.66417085,16.79780675,17.22693286,17.63591049,18.02235223,18.38943254,18.7438151,19.08967128,19.42728966,19.75409922,20.06876197,20.37012357,20.65708214,20.92937534,
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,5.159766454,5.272407459,5.386487584,5.501670821,5.617553771,5.73391489,5.850542786,5.967628542,6.085836795,6.206079572,6.329035355,6.454833379,6.583316717,6.7145066,6.848390104,6.984873996,7.124012739,7.265628173,7.409077818,7.553505031,7.698247946,7.843049017,7.98794886,8.132945629,8.278169482,8.423713653,8.569495061,8.715447245,8.861677282,9.008352257,9.155582018,9.303372104,9.451679129,9.600539094,9.74998523,9.900032309,10.05066187,
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,81.95794118,82.79433333,83.63352941,84.47266667,85.3087451,86.12019608,86.97066667,87.81409804,88.3932549,88.3657451,87.51807843,85.71770588,82.79597656,79.84373047,77.1253125,75.0725,73.83550781,73.28966797,73.25166016,73.42027344,73.56847656,73.65789063,73.74623047,73.81341797,73.85326172,73.85800781,73.81773438,73.7109375,73.50779297,73.17501953,72.69695313,72.04814453,71.25390625,70.41013672,69.64847656,69.06173828,68.6878125,
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,1.766551974,1.832260512,1.898415471,1.964849223,2.031464719,2.098201966,2.164716885,2.230893018,2.297069151,2.363778166,2.431337674,2.499834136,2.568829954,2.637398761,2.704324811,2.768679971,2.830377781,2.88962116,2.946067792,2.999421241,3.049670919,3.096598027,3.140742505,3.183771814,3.22786865,3.274666949,3.324754292,3.378000106,3.434353219,3.49351896,3.555248531,3.619605456,3.686614437,3.755769061,3.826465866,3.898147266,3.970603286,
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,14.49601957,14.83953463,15.18847076,15.53962018,15.88878435,16.23283183,16.57060829,16.90250319,17.22889806,17.55079252,17.86906477,18.1830619,18.4926644,18.79995812,19.10773485,19.41779056,19.73086189,20.0457475,20.35986954,20.66957995,20.97208075,21.26677347,21.55396069,21.83286581,22.10281929,22.36351162,22.61417157,22.8551612,23.08875288,23.31810618,23.54546215,23.77163914,23.995887,24.21694683,24.43284427,24.64209836,24.84438703,
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,73.34666667,75.43333333,78.08,81.25333333,84.87333333,88.69333333,92.92,97.26,101.7733333,106,109.74,112.8933333,115.6266667,118.02,120.3466667,122.8466667,125.5533333,128.4666667,131.48,134.5866667,137.6333333,140.5666667,143.5266667,146.6666667,150.2733333,154.4533333,159.3666667,164.8733333,170.6933333,176.3133333,181.4933333,186.0066667,190.06,193.7066667,197.2533333,200.7533333,204.4066667,
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,36.80246679,37.96679317,39.11347249,40.25351044,41.40929791,42.60189753,43.82770398,45.08956357,46.38671727,47.7256167,49.10531309,50.52637571,51.98538899,53.46318786,54.93833017,56.39316888,57.81764706,59.21024668,60.57343454,61.91442125,63.23358634,64.53833017,65.81916509,67.05673624,68.22068311,69.28994307,70.25616698,71.1316888,71.96432638,72.82201139,73.74990512,74.76527514,75.85351044,76.98595825,78.12220114,79.22998102,80.3028463,
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,80.10065082,80.36804664,80.60613758,80.80753864,80.99682726,80.9956341,80.9741571,81.09336527,81.18454307,80.24018801,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.3957516,72.03272978,71.48411327,70.95310776,70.4986377,69.97166529,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,24.93729167,25.53055556,26.16321272,26.83079313,27.5264693,28.24527412,28.98645468,29.7517288,30.54205044,31.35900219,32.20407164,33.0777924,33.98067617,34.91402047,35.87934211,36.87820906,37.91207968,38.98225877,40.0903655,41.23794225,42.4266886,43.65711623,44.93092105,46.25226974,47.62634868,49.0567617,50.54523757,52.09072003,53.69051901,55.34027412,57.03661184,58.77888889,60.56730994,62.40030336,64.27623173,66.19380117,68.1521674,
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,160.3121885,164.454634,168.7455607,173.2370717,178.0098131,183.1022586,188.5344626,194.2264798,199.9982866,205.6084112,210.8806464,215.811838,220.449338,224.7429128,228.6451324,232.1673676,235.2457944,238.0100078,240.9015576,244.5070093,249.248676,255.2892913,262.5221573,270.759852,279.6904595,289.0688863,298.8838785,309.1734034,319.7922118,330.569743,341.3913551,352.1615265,362.9170561,373.8390187,385.1943146,397.1678349,409.8176402,
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,71.13076923,72.35781638,73.76799007,75.27741935,76.77344913,78.1808933,79.44987593,80.61861042,81.80421836,83.17220844,84.83449132,86.83225806,89.10421836,91.56674938,94.08337469,96.55756824,98.95111663,101.2841191,103.5540943,105.7779156,107.9600496,110.1032258,112.1851117,114.180397,116.0456576,117.7585608,119.3039702,120.7042184,122.0156328,123.3158809,124.6610422,126.0712159,127.5382134,129.0585608,130.6295285,132.2364764,133.8858561,
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,37.9113245,38.2290562,39.19159869,40.60863358,42.18229662,43.69464083,45.08823929,46.43120893,47.77814412,49.22474507,50.83470428,52.61146612,54.50659415,56.47107976,58.43743485,60.35326309,62.20412984,63.99206889,65.70212441,67.32175391,68.844063,70.26100725,71.57675617,72.81398142,74.00508158,75.17675617,76.33406413,77.47956605,78.63420009,79.82216179,81.06016315,82.35829368,83.7121346,85.10475867,86.5102538,87.90865058,89.29509404,
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,18.23179962,18.791682,19.37459753,19.9805441,20.6093863,21.26044086,21.93374373,22.62756024,23.33738867,24.05737133,24.78309746,25.51401282,26.25062089,26.99092678,27.7329864,28.47622009,29.21975841,29.96641281,30.72405915,31.50322819,32.31206025,33.15336464,34.02696368,34.93436145,35.8762899,36.85302828,37.86584164,38.91474477,39.99705528,41.10880032,42.24682152,43.41022403,44.59897823,45.81184024,47.04766982,48.30556155,49.58471156,
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,2.704456255,2.738216596,2.771427095,2.799359103,2.826411364,2.852803813,2.88161557,2.919664684,2.95760383,3.010828602,3.05613564,3.097998683,3.136258386,3.170767943,3.201393741,3.228016464,3.262975463,3.297648543,3.326317341,3.353952434,3.383698924,3.418031101,3.448833289,3.48336341,3.518443373,3.5533034,3.581730817,3.61663736,3.655989052,3.698084788,3.739510266,3.776625307,3.821466628,3.865654736,3.907770267,3.940449068,3.987965483,
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,67.34166667,69.95416667,72.31666667,74.60833333,77.2625,80.47083333,84.37916667,88.9125,93.90833333,99.06666667,104.2083333,109.2208333,114.1833333,119.3583333,125.2291667,131.9666667,139.7333333,148.3208333,157.25,165.8666667,173.6958333,180.4833333,186.4083333,191.7833333,197.0791667,202.5916667,208.4625,214.5125,220.525,226.1625,231.2791667,235.7458333,239.6791667,243.2125,246.55,249.8458333,253.1875,
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,3.659541237,3.767050307,3.882699284,4.001950303,4.118596103,4.22843751,4.329163055,4.422684516,4.514180231,4.611172108,4.718899483,4.839038171,4.969352146,5.106459276,5.245224566,5.381821246,5.515138528,5.645942085,5.774479117,5.901486404,6.027458345,6.151406145,6.272451764,6.391320749,6.509094995,6.626071463,6.744611384,6.863462711,6.975161321,7.069617002,7.140718803,7.185066936,7.207961732,7.222788854,7.248052907,7.297345019,7.375230344,
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,3.583260801,3.661187262,3.744597363,3.835049238,3.934280496,4.043468075,4.16375953,4.294859435,4.434830845,4.580754447,4.730669473,4.884117694,5.042160896,5.206165025,5.378123412,5.559658513,5.75058291,5.950802891,6.162053685,6.386472363,6.625285102,6.87977446,7.148736499,7.427891518,7.711279384,7.994765724,8.276363564,8.557582592,8.842011595,9.134995235,9.440281131,9.759093869,10.08984673,10.43010562,10.77623729,11.12564565,11.47755956,
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,674.8,678.8473684,684.1,690.2947368,697.1210526,704.2526316,711.7368421,719.5578947,727.3,734.3684211,740.3736842,745.0947368,748.7263158,751.6789474,754.6526316,758.1368421,762.2578947,766.9210526,771.9526316,777.3,782.7631579,788.3842105,794.2157895,800.2,806.1578947,812.0736842,817.9526316,823.7526316,829.3736842,834.7526316,839.9,844.7210526,849.2526316,853.5789474,857.7315789,861.8842105,866.0052632,
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,15.15230817,15.38487113,15.62250986,15.86688132,16.11989531,16.38265468,16.65578348,16.93826896,17.22726796,17.51881156,17.80976743,18.09907845,18.38661013,18.67124482,18.95196037,19.2279727,19.49859051,19.76355422,20.02301986,20.27747562,20.52736668,20.77243347,21.01272709,21.24931005,21.48364563,21.71670352,21.94901094,22.18019803,22.40917943,22.63445554,22.85490604,23.0700992,23.28043178,23.48652378,23.68936105,23.88959856,24.08740175,
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,104.5173488,105.8647778,107.435358,108.9990147,110.4385801,111.9527068,113.6303358,115.4672063,117.3413575,119.154262,120.9155061,122.576625,124.0880888,125.522861,126.9496445,128.3366211,129.6889829,131.0231002,132.2863841,133.4367607,134.492481,135.4730488,136.3837796,137.2359193,138.0534367,138.8677661,139.6453429,140.3765881,141.0977052,141.8012441,142.4877434,143.1721123,143.8713936,144.5834568,145.317356,146.0576461,146.850662,
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,25.00036052,25.57547634,26.16238125,26.75718251,27.35474178,27.95104822,28.54418747,29.134137,29.72107706,30.30594322,30.88919784,31.47072195,32.04928526,32.62295448,33.1893078,33.74671203,34.2938603,34.83137539,35.3619306,35.88939072,36.41636593,36.9435863,37.46957278,37.99202434,38.50758269,39.01364038,39.50943849,39.99510771,40.4700712,40.93391708,41.38629743,41.82663001,42.25459667,42.67055521,43.07517891,43.46885714,43.85166201,
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,165.410532,170.6641591,175.6829661,180.5996776,185.6346051,190.9387426,196.5394949,202.3933369,208.4701773,214.7404621,221.1681891,227.7657174,234.5233745,241.4153681,248.4024718,255.4508329,262.5615261,269.7221924,276.9398173,284.1740999,291.4331005,298.7039226,306.0069855,313.3858141,320.9177861,328.6550242,336.6066631,344.7716282,353.1590543,361.7689414,370.6029017,379.6716819,388.9672219,398.441698,408.0521225,417.7452982,427.5126276,
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,11.62632584,11.92715997,12.22616925,12.52944399,12.84553671,13.18164399,13.53557442,13.90786396,14.31117796,14.76166869,15.26855649,15.84209656,16.47345537,17.12957147,17.76480492,18.34796057,18.86616705,19.33355947,19.7792413,20.24598796,20.76548246,21.34683311,21.98264529,22.66823978,23.39349242,24.15097858,24.94122803,25.76809598,26.63091154,27.52891864,28.46133213,29.42749256,30.42662579,31.45763569,32.51929159,33.61047132,34.73066452,
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,5.387803807,5.548099561,5.713601757,5.883352855,6.056023426,6.230658858,6.407162518,6.586079063,6.768222548,6.954635432,7.146286969,7.343402635,7.546222548,7.755510981,7.972172767,8.196939971,8.431103953,8.674875549,8.92665593,9.184023426,9.445759883,9.709534407,9.977101025,10.25627818,10.55765447,10.88797365,11.25143485,11.64347291,12.05105417,12.45596486,12.8453675,13.21443631,13.56768082,13.91330307,14.26383895,14.62854466,15.00972474,
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,46.79416373,48.06363102,49.37657658,50.72326675,52.09128476,53.47107325,54.85675676,56.25168429,57.66856639,59.12563651,60.63444967,62.1944575,63.79682726,65.43290247,67.09146103,68.76079123,70.44128476,72.12544066,73.78325499,75.37647865,76.87902468,78.27649824,79.57704661,80.80632589,82.00231101,83.19312573,84.38687818,85.57518606,86.75103799,87.90174305,89.01840971,90.09937329,91.15005875,92.17393263,93.1761653,94.1608304,95.12875049,
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,26.08073899,27.24546226,28.44173899,29.6626761,30.89954403,32.14640881,33.39706604,34.65299057,35.92534591,37.2303239,38.57784277,39.96857862,41.39314151,42.83877673,44.28808491,45.72584906,47.15487107,48.57228302,49.95142138,51.25859434,52.47346226,53.58538365,54.61168868,55.59545597,56.59666038,57.66133019,58.80325472,60.01868239,61.31442138,62.69297484,64.15512893,65.70852516,67.35409748,69.07645283,70.85330189,72.66815094,74.51546855,
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,82.0604543,82.41817206,82.90109104,83.33035235,83.705956,84.08155965,84.4571633,84.77910928,85.08316938,85.26202826,85.4945448,80.66535503,79.94991951,82.99052048,83.16937936,83.50921123,80.27867095,81.67202572,80.50438204,81.45233411,79.16294044,79.41334287,79.41334287,79.41334287,79.32451751,79.37812723,79.34238742,79.27090779,79.24424589,79.14721229,78.94533595,76.49431737,76.2608649,76.04876698,75.73961758,75.11801287,74.59522873,
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,91.57520484,92.0317784,92.41734637,92.80012104,93.26870577,93.88257914,94.67492551,95.61980447,96.64383613,97.6397486,98.52961825,99.28850093,99.93820298,100.5040503,101.0296555,101.5460242,102.0578399,102.5510521,103.0176629,103.4451024,103.8243575,104.1577467,105.442222,105.6850094,105.8823513,106.0151541,106.1376773,106.1977358,106.2547351,106.3378617,106.4736095,106.2542788,106.9258142,109.5007388,109.9766103,110.1848875,110.3247645,
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,333.4256757,334.75,338.0653153,340.4481982,342.2072072,343.9436937,343.8333333,341.1171171,336.1576577,330.9391892,327.4774775,325.231982,324.1261261,324.9977477,325.7432432,326.8896396,329.518018,330.981982,325.3873874,314.027027,301.4864865,290.6463964,291.0022523,297.0653153,302.2342342,310.0405405,318.1058559,324.4504505,328.5585586,330.704955,334.9166667,339.7094595,342.5405405,346.4459459,351.1463964,355.8108108,359.6013514,
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,74.17813853,74.58582251,74.85952381,75.11655844,75.51049784,76.15660173,77.09318182,78.28787879,79.70551948,81.28181818,82.96688312,84.75422078,86.64599567,88.60941558,90.59632035,92.57402597,94.5262987,96.44935065,98.34458874,100.2218615,102.0872294,103.9266234,105.7322511,107.5284632,109.3517316,111.2183983,113.1503247,115.1203463,117.0522727,118.8393939,120.412013,121.7353896,122.8422078,123.7982684,124.7087662,125.6477273,126.6369048,
Population density (people per sq. km of land area),EN.POP.DNST,Czech Republic,CZE,133.3530866,133.3064708,133.490695,133.6075579,133.6898279,133.7791899,133.8453087,133.9111945,134.014184,134.089142,133.7304905,133.4098356,133.5463052,133.6851948,133.7334929,133.6515206,133.4960657,133.3522842,133.2259997,133.0899444,132.7172641,132.2195548,131.964747,131.9269833,131.9842221,132.1669169,132.5424595,133.3181618,134.4285178,135.1965825,135.6086225,135.8892802,136.0971773,136.1423281,136.3210335,136.5716006,136.8518586,
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,120.8831288,120.8487966,120.7600283,120.6771354,120.6139453,120.6628362,120.8243039,120.948903,121.0076905,121.080302,121.2771644,121.5923095,121.8800377,122.2867782,122.7004478,123.3413387,124.0413387,124.5578836,125.0110535,125.425383,125.8452981,126.2970304,126.7011784,127.046288,127.3750412,127.72642,128.1468772,128.7164271,129.4749234,130.1695734,130.7490691,131.2885223,133.1643725,133.7206954,134.4004525,135.3532508,135.5357058,
